,Source,Target,Weight,Type
1194,"Rausis, Igors","Gonzalez Diaz, Julio",1,Directed
1195,"Rausis, Igors","Vuilleumier, Alexandre",1,Directed
1196,"Rausis, Igors","Lodici, Lorenzo",1,Directed
1197,"Rausis, Igors","Wegerle, Joerg",1,Directed
1198,"Moreno Tejera, Emilio","Rausis, Igors",1,Directed
1199,"Rausis, Igors","Aranaz Murillo, Amalia",1,Directed
1200,"Rausis, Igors","Cherifi, Fateh",1,Directed
1201,"Rausis, Igors","Latreche, Sabrina",1,Directed
1202,"Rausis, Igors","Zozulia, Anna",1,Directed
1203,"Rausis, Igors","Amdouni, Zoubaier",1,Directed
1204,"Rausis, Igors","Kirk, Ezra",1,Directed
1205,"Rausis, Igors","Merry, Alan B",1,Directed
1206,"Rausis, Igors","Gourlay, Iain",1,Directed
1207,"Rausis, Igors","Fodor, Tamas Jr",1,Directed
1208,"Rausis, Igors","Zilka, Stepan",1,Directed
1209,"Rausis, Igors","Vonthron, Horst",1,Directed
1210,"Rausis, Igors","Ider, Borya",1,Directed
1211,"Rausis, Igors","Filipovic, Branko",1,Directed
1212,"Rausis, Igors","Stachowiak, Kamil",1,Directed
1213,"Rausis, Igors","Blahynka, Martin",1,Directed
1214,"Rausis, Igors","Rasik, Vitezslav",1,Directed
1215,"Rausis, Igors","Gutsko, Anastasiya",1,Directed
1216,"Rausis, Igors","Pavlovic, Milos",1,Directed
1217,"Pavlovic, Milos","Rausis, Igors",1,Directed
1218,"Postny, Evgeny","Rausis, Igors",1,Directed
1219,"Rausis, Igors","Turner, Matthew",1,Directed
1220,"Rausis, Igors","Antal, Gergely",1,Directed
1221,"Rausis, Igors","Kabisch, Thilo",1,Directed
1222,"Rausis, Igors","Wagner, Dennis",1,Directed
1223,"Rausis, Igors","Chernov, Vadim A",1,Directed
1224,"Rausis, Igors","Benezra, Esther",1,Directed
1225,"Rausis, Igors","Mazzella, Enzo",1,Directed
1226,"Rausis, Igors","Vavric, Pavel",1,Directed
1227,"Rausis, Igors","Midoux, Sebastien",1,Directed
1228,"Rausis, Igors","Kociscak, Jiri",1,Directed
1229,"Rausis, Igors","Vavra, Pavel",1,Directed
1230,"Rausis, Igors","Noe, Christopher",1,Directed
1231,"Rausis, Igors","Wilton, Lars",1,Directed
1232,"Rausis, Igors","Freisler, Pavel",1,Directed
1233,"Rausis, Igors","Sylvan, Jacob",1,Directed
1234,"Rausis, Igors","Langrock, Hannes",1,Directed
1235,"Rausis, Igors","Zakhartsov, Viacheslav V",1,Directed
1236,"Rausis, Igors","Schrepp, Martin",1,Directed
1237,"Rausis, Igors","Ruff, Maximilian",1,Directed
1238,"Rausis, Igors","Bulski, Krzysztof",1,Directed
1239,"Rausis, Igors","Volke, Karsten",1,Directed
1240,"Rausis, Igors","Kuklin, Valentin",1,Directed
1241,"Rausis, Igors","Mesaros, Florian",1,Directed
1242,"Rausis, Igors","Ponizil, Cyril",1,Directed
1243,"Rausis, Igors","Straka, Vojtech",1,Directed
1244,"Rausis, Igors","Ziegler, Ari",1,Directed
1245,"Von Bahr, Oskar","Rausis, Igors",1,Directed
1246,"Rausis, Igors","Lien, Kjell Hakon",1,Directed
1247,"Rausis, Igors","Galinsky, Timofey",1,Directed
1248,"Rausis, Igors","Haldorsen, Benjamin",1,Directed
1249,"Rausis, Igors","Santarius, Erik F",1,Directed
1250,"Rausis, Igors","Mustaps, Matiss",1,Directed
1251,"Rausis, Igors","Debie, Timothee",1,Directed
1252,"Rausis, Igors","Munkhbayar, Janjaadorj",1,Directed
1253,"Rausis, Igors","Vidal, Llewellyn",1,Directed
1254,"Rausis, Igors","Colin, Vincent",1,Directed
1255,"Rausis, Igors","Gascon del Nogal, Jose Rafael",1,Directed
1256,"Rausis, Igors","Devallee, Jeremie",1,Directed
1257,"Rausis, Igors","Petrova, Kristyna",1,Directed
1258,"Rausis, Igors","Vykouk, Jan",1,Directed
1259,"Rausis, Igors","Roubalik, Jakub",1,Directed
1260,"Rausis, Igors","Vojta, Tomas",1,Directed
1261,"Rausis, Igors","Rakotomaharo, Fy Antenaina",1,Directed
1262,"Rausis, Igors","Heidenfeld, Mark",1,Directed
1263,"Rausis, Igors","Wenninger, Philipp",1,Directed
1264,"Rausis, Igors","Kaiser, Frederic",1,Directed
1265,"Rausis, Igors","Koehler, Christian Friedrich",1,Directed
1266,"Rausis, Igors","Luciani, Valerio",1,Directed
1267,"Rausis, Igors","Patuzzo, Fabrizio",1,Directed
1268,"Rausis, Igors","Carron, Julien",1,Directed
1269,"Rausis, Igors","Pakhomov, Alexey",1,Directed
1270,"Rausis, Igors","Reinhardt, Bernd",1,Directed
1271,"Carlsen, Magnus","Adhiban, Baskaran",1,Directed
1272,"Carlsen, Magnus","Hou, Yifan",1,Directed
1273,"Carlsen, Magnus","Jones, Gawain C B",1,Directed
1274,"Carlsen, Magnus","So, Wesley",1,Directed
1275,"Carlsen, Magnus","Matlakov, Maxim",1,Directed
1276,"Carlsen, Magnus","Wojtaszek, Radoslaw",1,Directed
1277,"Carlsen, Magnus","Giri, Anish",1,Directed
1278,"Carlsen, Magnus","Caruana, Fabiano",1,Directed
1279,"Carlsen, Magnus","Vachier Lagrave, Maxime",1,Directed
1280,"Carlsen, Magnus","Mamedyarov, Shakhriyar",1,Directed
1281,"Carlsen, Magnus","Georgiadis, Nico",1,Directed
1282,"Carlsen, Magnus","Nakamura, Hikaru",1,Directed
1283,"Carlsen, Magnus","Potkin, Vladimir",1,Directed
1284,"Carlsen, Magnus","Van Foreest, Jorden",1,Directed
1285,"Carlsen, Magnus","Rapport, Richard",1,Directed
1286,"Duda, Jan Krzysztof","Carlsen, Magnus",1,Directed
1287,"Carlsen, Magnus","Karjakin, Sergey",1,Directed
1288,"Carlsen, Magnus","Grischuk, Alexander",1,Directed
1289,"Carlsen, Magnus","Keymer, Vincent",1,Directed
1290,"Carlsen, Magnus","Vallejo Pons, Francisco",1,Directed
1291,"Vallejo Pons, Francisco","Carlsen, Magnus",1,Directed
1292,"Carlsen, Magnus","Meier, Georg",1,Directed
1293,"Carlsen, Magnus","Yu, Yangyi",1,Directed
1294,"Carlsen, Magnus","Nepomniachtchi, Ian",1,Directed
1295,"Carlsen, Magnus","Ding, Liren",1,Directed
1296,"Carlsen, Magnus","Kuzubov, Yuriy",1,Directed
1297,"Kuzubov, Yuriy","Carlsen, Magnus",1,Directed
1298,"Carlsen, Magnus","Ganguly, Surya Shekhar",1,Directed
1299,"Carlsen, Magnus","Vitiugov, Nikita",1,Directed
1300,"Carlsen, Magnus","Firouzja, Alireza",1,Directed
1301,"Carlsen, Magnus","Kovalev, Vladislav",1,Directed
1302,"Carlsen, Magnus","Tari, Aryan",1,Directed
1303,"Carlsen, Magnus","Esipenko, Andrey",1,Directed
1304,"Carlsen, Magnus","Grandelius, Nils",1,Directed
1305,"Carlsen, Magnus","Iturrizaga Bonelli, Eduardo",1,Directed
1306,"Carlsen, Magnus","Martinovic, Sasa",1,Directed
1307,"Carlsen, Magnus","Fedoseev, Vladimir1",1,Directed
1308,"Carlsen, Magnus","Sarrau, Jelle",1,Directed
1309,"Carlsen, Magnus","Llobel Cortell, Enrique",1,Directed
1310,"Carlsen, Magnus","Batsuren, Dambasuren",1,Directed
1311,"Carlsen, Magnus","Bwalya, Gillan",1,Directed
1312,"Carlsen, Magnus","Smirnov, Anton",1,Directed
1313,"Carlsen, Magnus","Stanojoski, Zvonko",1,Directed
1314,"Carlsen, Magnus","Megaranto, Susanto",1,Directed
1315,"Carlsen, Magnus","Moiseenko, Alexander",1,Directed
1316,"Shevchenko, Kirill","Carlsen, Magnus",1,Directed
1317,"Carlsen, Magnus","Praggnanandhaa, Rameshbabu",1,Directed
1318,"Rausis, Igors","Vavrak, Peter",1,Directed
1319,"Jakubowski, Krzysztof","Rausis, Igors",1,Directed
1320,"Maiwald, Jens Uwe","Rausis, Igors",1,Directed
1321,"Rausis, Igors","Weiss, Christian",1,Directed
1322,"Hulak, Krunoslav","Rausis, Igors",1,Directed
1323,"Rausis, Igors","Volodin, Aleksandr",1,Directed
1324,"Rausis, Igors","Sulskis, Sarunas",1,Directed
1325,"Rausis, Igors","Stocek, Jiri",1,Directed
1326,"Cvek, Robert","Rausis, Igors",1,Directed
1327,"Rausis, Igors","Vokac, Marek",1,Directed
1328,"Talla, Vladimir","Rausis, Igors",1,Directed
1329,"Rausis, Igors","Talla, Vladimir",1,Directed
1330,"Rausis, Igors","Mycroft, Richard",1,Directed
1331,"Rausis, Igors","Surtees, Michael",1,Directed
1332,"Rausis, Igors","Radovanovic, Jovica",1,Directed
1333,"Nataf, Igor Alexandre","Rausis, Igors",1,Directed
1334,"Neiman, Emmanuel","Rausis, Igors",1,Directed
1335,"Rausis, Igors","Chaichi, SN.",1,Directed
1336,"Rausis, Igors","Rivas Crespo, Alexander",1,Directed
1337,"Rausis, Igors","Sparreboom, Willem",1,Directed
1338,"Nisipeanu, Liviu Dieter","Rausis, Igors",1,Directed
1339,"Rausis, Igors","Bauer, Christian",1,Directed
1340,"Rausis, Igors","Chos, Alexey",1,Directed
1341,"Rausis, Igors","Matsegora, Taras",1,Directed
1342,"Rausis, Igors","Michiels, Bart",1,Directed
1343,"Van der Stricht, Geert","Rausis, Igors",1,Directed
1344,"Kraemer, Martin","Rausis, Igors",1,Directed
1345,"Rausis, Igors","Green, Andrew",1,Directed
1346,"Rausis, Igors","Brunner, Werner",1,Directed
1347,"Rausis, Igors","Lagrotteria, Salvatore",1,Directed
1348,"Rausis, Igors","Drei, Andrea",1,Directed
1349,"Rausis, Igors","Mrdja, Milan",1,Directed
1350,"Rausis, Igors","Brown, Martin",1,Directed
1351,"Rausis, Igors","Trent, Lawrence",1,Directed
1352,"David, Alberto","Rausis, Igors",1,Directed
1353,"Rausis, Igors","David, Alberto",1,Directed
1354,"Rausis, Igors","Rodriguez Lopez, Rafael",1,Directed
1355,"Bacrot, Etienne","Rausis, Igors",1,Directed
1356,"Rausis, Igors","White, Michael JR",1,Directed
1357,"Rausis, Igors","Lisanti, Andre",1,Directed
1358,"Heimann, Andreas","Rausis, Igors",1,Directed
1359,"Rausis, Igors","Grigoryan, Avetik",1,Directed
1360,"Markos, Jan","Rausis, Igors",1,Directed
1361,"Rausis, Igors","Daurelle, Herve",1,Directed
1362,"Rausis, Igors","Demuth, Adrien",1,Directed
1363,"Firman, Nazar","Rausis, Igors",1,Directed
1364,"Ftacnik, Lubomir","Rausis, Igors",1,Directed
1365,"Rausis, Igors","Knoll, Hermann",1,Directed
1366,"Rausis, Igors","Lehner, Oliver",1,Directed
1367,"Rausis, Igors","Kalod, Radek",1,Directed
1368,"Rausis, Igors","Petr, Martin",1,Directed
1369,"Rausis, Igors","Konopka, Michal",1,Directed
1370,"Meduna, Eduard","Rausis, Igors",1,Directed
1371,"Rausis, Igors","Studnicka, Tomas",1,Directed
1372,"Studnicka, Tomas","Rausis, Igors",1,Directed
1373,"Simacek, Pavel","Rausis, Igors",1,Directed
1374,"Rausis, Igors","Bach, Matthias",1,Directed
1375,"Rausis, Igors","Pajeken, Wolfgang",1,Directed
1376,"Rausis, Igors","Souleidis, Georgios",1,Directed
1377,"Rausis, Igors","Capone, Nicola",1,Directed
1378,"Rausis, Igors","Hulpia, Fabian",1,Directed
1379,"Rausis, Igors","Fomichenko, Svetlana",1,Directed
1380,"Rausis, Igors","Le Quang, Kim",1,Directed
1381,"Rausis, Igors","Russo, Julien",1,Directed
1382,"Rausis, Igors","Lyell, Mark",1,Directed
1383,"Rausis, Igors","Venkataramanan, TS.",1,Directed
1384,"Rausis, Igors","Tozer, Richard",1,Directed
1385,"Rausis, Igors","Ocantos, Manuel",1,Directed
1386,"Rausis, Igors","Kilpatrick, Callum",1,Directed
1387,"Rausis, Igors","Mohammad, Javed",1,Directed
1388,"Rausis, Igors","Praveen Kumar, Chandrasekar",1,Directed
1389,"Rausis, Igors","Lahiri, Atanu",1,Directed
1390,"Barua, Dibyendu","Rausis, Igors",1,Directed
1391,"Rausis, Igors","Reefat, Bin Sattar",1,Directed
1392,"Rausis, Igors","Jensen, Jan Kargaard",1,Directed
1393,"Rausis, Igors","Rendboe, John Filip",1,Directed
1394,"Rausis, Igors","De Verdier, Michael Carl Adam",1,Directed
1395,"Wemmers, Xander","Rausis, Igors",1,Directed
1396,"Rausis, Igors","Kovar, Vojtech",1,Directed
1397,"Rausis, Igors","Narciso Dublan, Marc",1,Directed
1398,"Narciso Dublan, Marc","Rausis, Igors",1,Directed
1399,"Rizouk, Aimen","Rausis, Igors",1,Directed
1400,"Rausis, Igors","Fernandez Bonet, Jon",1,Directed
1401,"Rausis, Igors","Limeres Guiance, Cristobal",1,Directed
1402,"Rausis, Igors","Gonzalez Rodriguez, Jorge Armando",1,Directed
1403,"Rausis, Igors","Prieto Aranguren, Alain",1,Directed
1404,"Rausis, Igors","Angulo Martinez, Jon",1,Directed
1405,"Rausis, Igors","Ponnet, Geerard",1,Directed
1406,"Rausis, Igors","Ponnet, Hendrik",1,Directed
1407,"Rausis, Igors","Vanderwaeren, Serge",1,Directed
1408,"Rausis, Igors","Simon, Olivier",1,Directed
1409,"Vandenbussche, Thibaut","Rausis, Igors",1,Directed
1410,"Rausis, Igors","Burrows, Martin P",1,Directed
1411,"Rausis, Igors","Beaumont, Chris",1,Directed
1412,"Rausis, Igors","Jackson, James P",1,Directed
1413,"Rausis, Igors","Rudd, Jack",1,Directed
1414,"Rausis, Igors","Eggleston, David",1,Directed
1415,"Eggleston, David","Rausis, Igors",1,Directed
1416,"Rausis, Igors","Sturt, Raven M",1,Directed
1417,"Rausis, Igors","Rachid, Danial",1,Directed
1418,"Rausis, Igors","Bouverot, Olivier",1,Directed
1419,"Rausis, Igors","Chomet, Pascal",1,Directed
1420,"Shirazi, Kamran","Rausis, Igors",1,Directed
1421,"Rausis, Igors","Gaffe, Yoann",1,Directed
1422,"Rausis, Igors","Mandon, Fabrice",1,Directed
1423,"Rausis, Igors","Tirard, Hugo",1,Directed
1424,"Rausis, Igors","Kleijn, Christov",1,Directed
1425,"Winants, Luc","Rausis, Igors",1,Directed
1426,"Rausis, Igors","Coursaget, Nicolas",1,Directed
1427,"Rausis, Igors","Carbonnel, Pierre",1,Directed
1428,"Rausis, Igors","Neuman, Petr",1,Directed
1429,"Rausis, Igors","Bures, Jaroslav",1,Directed
1430,"Rausis, Igors","Blatny, Pavel",1,Directed
1431,"Rausis, Igors","Aroshidze, Levan",1,Directed
1432,"Rausis, Igors","Mascaro March, Pedro",1,Directed
1433,"Moskalenko, Viktor","Rausis, Igors",1,Directed
1434,"Huschenbeth, Niclas","Rausis, Igors",1,Directed
1435,"Rausis, Igors","Fries Nielsen, Jens Ove",1,Directed
1436,"Rausis, Igors","Colpe, Malte",1,Directed
1437,"Rausis, Igors","Chan, James",1,Directed
1438,"Rausis, Igors","Botez, Alexandra",1,Directed
1439,"Rausis, Igors","Haria, Ravi",1,Directed
1440,"Rausis, Igors","Coleman, James",1,Directed
1441,"Rausis, Igors","Arkell, Keith C",1,Directed
1442,"Ledger, Dave J","Rausis, Igors",1,Directed
1443,"Rausis, Igors","Crouch, Colin S",1,Directed
1444,"Rausis, Igors","Hoare, Amy B",1,Directed
1445,"Rausis, Igors","Pace, Colin",1,Directed
1446,"Rausis, Igors","Snape, Ian L",1,Directed
1447,"Rausis, Igors","Wells, Peter K",1,Directed
1448,"Rausis, Igors","Suez Panama, Gilles",1,Directed
1449,"Rausis, Igors","Brown, Andrew",1,Directed
1450,"Vas, Peter1","Rausis, Igors",1,Directed
1451,"Ghasi, Ameet K","Rausis, Igors",1,Directed
1452,"Rausis, Igors","Turcan, Milan",1,Directed
1453,"Rausis, Igors","Gorse, Gerard",1,Directed
1454,"Rausis, Igors","Lang, Fabian",1,Directed
1455,"Ulybin, Mikhail","Rausis, Igors",1,Directed
1456,"Rausis, Igors","Gaehwiler, Gabriel",1,Directed
1457,"Rausis, Igors","Haas, Carmi",1,Directed
1458,"Rausis, Igors","Gattenloehner, Sebastian",1,Directed
1459,"Rausis, Igors","Borner, Daniel",1,Directed
1460,"Rausis, Igors","Richardson, Keith Bevin",1,Directed
1461,"Rausis, Igors","Mikkelsen, Nikolaj",1,Directed
1462,"Bigg, Andrew J","Rausis, Igors",1,Directed
1463,"Rausis, Igors","Longson, Alexander",1,Directed
1464,"Rausis, Igors","Croad, Nicholas",1,Directed
1465,"Rausis, Igors","Graupner, Thomas",1,Directed
1466,"Rausis, Igors","Stiefel, Roland",1,Directed
1467,"Rausis, Igors","Platz, Daniel",1,Directed
1468,"Rausis, Igors","Schultz, Andreas",1,Directed
1469,"Rausis, Igors","Schuster, Martin",1,Directed
1470,"Rausis, Igors","Kunz, Konstantin",1,Directed
1471,"Rausis, Igors","Tung, Siu Hung",1,Directed
1472,"Rausis, Igors","Ladron de Guevara Galar, Francisco Javier",1,Directed
1473,"Rausis, Igors","Thakur, Akash",1,Directed
1474,"Rausis, Igors","Moen, Andreas",1,Directed
1475,"Rausis, Igors","Velten, Paul",1,Directed
1476,"Rausis, Igors","Marzolo, Cyril",1,Directed
1477,"Rausis, Igors","Vaarala, Eric",1,Directed
1478,"Ernst, Sipke","Rausis, Igors",1,Directed
1479,"Rausis, Igors","Martinsen, Stig K",1,Directed
1480,"Rausis, Igors","Karayiannis, Costas",1,Directed
1481,"Rausis, Igors","Yeves Miquel, Enrique",1,Directed
1482,"Rausis, Igors","Lopez Ziegler, Carlos",1,Directed
1483,"Rausis, Igors","Lopez Moll, Jose Manuel",1,Directed
1484,"Rausis, Igors","Fernandez Blazquez, Diego",1,Directed
1485,"Rausis, Igors","Aguado Solana, Juan",1,Directed
1486,"Rausis, Igors","Alvarez Abejon, Amilcar",1,Directed
1487,"Rausis, Igors","Ledo Galan, Jose Emilio",1,Directed
1488,"Rausis, Igors","Erice Alonso, Santiago",1,Directed
1489,"Rausis, Igors","Maassen, Hermann",1,Directed
1490,"Rausis, Igors","Mittmann, Johannes",1,Directed
1491,"Rausis, Igors","Schwarz, Oliver",1,Directed
1492,"Rausis, Igors","Boidman, Yuri",1,Directed
1493,"Rausis, Igors","Horstmann, Olaf",1,Directed
1494,"Rausis, Igors","Wacker, Peter",1,Directed
1495,"Rausis, Igors","Khanukov, Boris",1,Directed
1496,"Rotstein, Jefim","Rausis, Igors",1,Directed
1497,"Rausis, Igors","Lavendelis, Egons",1,Directed
1498,"Fier, Alexandr","Rausis, Igors",1,Directed
1499,"Rausis, Igors","Vedrickas, Tautvydas",1,Directed
1500,"Rausis, Igors","Samolins, Vitalijs",1,Directed
1501,"Rausis, Igors","Bauer, Werner1",1,Directed
1502,"Rausis, Igors","Moehn, Hans",1,Directed
1503,"Rausis, Igors","Zenker, Ulrich",1,Directed
1504,"Renner, Christoph","Rausis, Igors",1,Directed
1505,"Rausis, Igors","Valet, Richard",1,Directed
1506,"Rausis, Igors","Bronznik, Valerij",1,Directed
1507,"Rausis, Igors","Svoboda, Vaclav1",1,Directed
1508,"Rausis, Igors","Maouchi, Amina",1,Directed
1509,"Rausis, Igors","Ioualalen, Lotfi",1,Directed
1510,"Rausis, Igors","Marte, Sebastien",1,Directed
1511,"Erigaisi, Arjun Kumar","Prraneeth, Vuppala",1,Directed
1512,"Erigaisi, Arjun Kumar","Aaryan, Varshney",1,Directed
1513,"Erigaisi, Arjun Kumar","Nguyen, Phuoc Tam",1,Directed
1514,"Karthikeyan, Murali","Erigaisi, Arjun Kumar",1,Directed
1515,"Erigaisi, Arjun Kumar","Karthikeyan, Murali",1,Directed
1516,"Deviatkin, Andrei","Erigaisi, Arjun Kumar",1,Directed
1517,"Erigaisi, Arjun Kumar","Tarun, Kanyamarala",1,Directed
1518,"Erigaisi, Arjun Kumar","Dixit, Nikhil",1,Directed
1519,"Erigaisi, Arjun Kumar","Karthikeyan, Pandian",1,Directed
1520,"Erigaisi, Arjun Kumar","Karthik, Venkataraman",1,Directed
1521,"Mamedov, Rauf","Erigaisi, Arjun Kumar",1,Directed
1522,"Erigaisi, Arjun Kumar","Mamedov, Rauf",1,Directed
1523,"Erigaisi, Arjun Kumar","Debashis, Das",1,Directed
1524,"Paravyan, David","Erigaisi, Arjun Kumar",1,Directed
1525,"Sharma, Dinesh Kumar","Erigaisi, Arjun Kumar",1,Directed
1526,"Erigaisi, Arjun Kumar","Bach, Ngoc Thuy Duong",1,Directed
1527,"Erigaisi, Arjun Kumar","Tokhirjonova, Gulruhbegim",1,Directed
1528,"Erigaisi, Arjun Kumar","Chen, Qi B",1,Directed
1529,"Erigaisi, Arjun Kumar","Aravindh, Chithambaram VR",1,Directed
1530,"Wang, Hao","Erigaisi, Arjun Kumar",1,Directed
1531,"Erigaisi, Arjun Kumar","Wang, Hao",1,Directed
1532,"Erigaisi, Arjun Kumar","Aradhya, Garg",1,Directed
1533,"Erigaisi, Arjun Kumar","Tissir, Mohamed",1,Directed
1534,"Erigaisi, Arjun Kumar","Ali, Abdulaziz",1,Directed
1535,"Erigaisi, Arjun Kumar","Mahitosh, Dey",1,Directed
1536,"Safarli, Eltaj","Erigaisi, Arjun Kumar",1,Directed
1537,"Erigaisi, Arjun Kumar","El Jawich, Amro",1,Directed
1538,"Naiditsch, Arkadij","Erigaisi, Arjun Kumar",1,Directed
1539,"Erigaisi, Arjun Kumar","Nyazi, Nehad",1,Directed
1540,"Erigaisi, Arjun Kumar","Tiwari, Arjun",1,Directed
1541,"Erigaisi, Arjun Kumar","Vantika, Agrawal",1,Directed
1542,"Rozum, Ivan","Erigaisi, Arjun Kumar",1,Directed
1543,"Erigaisi, Arjun Kumar","Mohammad Fahad, Rahman",1,Directed
1544,"Erigaisi, Arjun Kumar","Rathnakaran, Kantholi",1,Directed
1545,"Erigaisi, Arjun Kumar","Lalith, Babu MR",1,Directed
1546,"Erigaisi, Arjun Kumar","Shantharam, KV.",1,Directed
1547,"Erigaisi, Arjun Kumar","Ziatdinov, Raset",1,Directed
1548,"Ziatdinov, Raset","Erigaisi, Arjun Kumar",1,Directed
1549,"Erigaisi, Arjun Kumar","Nair, Sanjeev",1,Directed
1550,"Erigaisi, Arjun Kumar","Phadke, Sohan",1,Directed
1551,"Amonatov, Farrukh","Erigaisi, Arjun Kumar",1,Directed
1552,"Kiran, Manisha Mohanty","Erigaisi, Arjun Kumar",1,Directed
1553,"Erigaisi, Arjun Kumar","Manigandan, SS.",1,Directed
1554,"Erigaisi, Arjun Kumar","Yegiazaryan, Armenak",1,Directed
1555,"Erigaisi, Arjun Kumar","Sargsyan, Anna M",1,Directed
1556,"Erigaisi, Arjun Kumar","Peng, Shunkai",1,Directed
1557,"Erigaisi, Arjun Kumar","Pratyusha, Bodda",1,Directed
1558,"Erigaisi, Arjun Kumar","Markovic, Miroslav",1,Directed
1559,"Erigaisi, Arjun Kumar","Drazic, Sinisa",1,Directed
1560,"Erigaisi, Arjun Kumar","Rahul, Srivatshav P",1,Directed
1561,"Erigaisi, Arjun Kumar","Nguyen, Van Thanh",1,Directed
1562,"Erigaisi, Arjun Kumar","Ilincic, Zlatko",1,Directed
1563,"Eliseev, Evgeniy1","Erigaisi, Arjun Kumar",1,Directed
1564,"Erigaisi, Arjun Kumar","Berczes, David",1,Directed
1565,"Erigaisi, Arjun Kumar","Wang, Tianqi",1,Directed
1566,"Erigaisi, Arjun Kumar","Soham, Das1",1,Directed
1567,"Eljanov, Pavel","Erigaisi, Arjun Kumar",1,Directed
1568,"Romanov, Evgeny","Erigaisi, Arjun Kumar",1,Directed
1569,"Erigaisi, Arjun Kumar","Chinguun, Sumiya",1,Directed
1570,"Erigaisi, Arjun Kumar","Sharma, Dushyant",1,Directed
1571,"Erigaisi, Arjun Kumar","Rakshitta, Ravi",1,Directed
1572,"Kravtsiv, Martyn","Erigaisi, Arjun Kumar",1,Directed
1573,"Erigaisi, Arjun Kumar","Rakesh, Kumar Jena",1,Directed
1574,"Erigaisi, Arjun Kumar","Krishna Teja, N.",1,Directed
1575,"Erigaisi, Arjun Kumar","Kamer, Kayra",1,Directed
1576,"Erigaisi, Arjun Kumar","Matviishen, Viktor",1,Directed
1577,"Erigaisi, Arjun Kumar","Abdusattorov, Nodirbek",1,Directed
1578,"Abdusattorov, Nodirbek","Erigaisi, Arjun Kumar",1,Directed
1579,"Erigaisi, Arjun Kumar","Esipenko, Andrey",1,Directed
1580,"Erigaisi, Arjun Kumar","Gadimbayli, Abdulla Azar",1,Directed
1581,"Erigaisi, Arjun Kumar","Vijay, Kumar2",1,Directed
1582,"Erigaisi, Arjun Kumar","Michelle, Catherina P",1,Directed
1583,"Erigaisi, Arjun Kumar","Koustav, Chatterjee",1,Directed
1584,"Erigaisi, Arjun Kumar","Thipsay, Praveen Mahadeo",1,Directed
1585,"Erigaisi, Arjun Kumar","Dzhumaev, Marat",1,Directed
1586,"Mosadeghpour, Masoud","Erigaisi, Arjun Kumar",1,Directed
1587,"Erigaisi, Arjun Kumar","Badri, Narayan Balaji",1,Directed
1588,"Erigaisi, Arjun Kumar","Md Abzid, Rahman",1,Directed
1589,"Erigaisi, Arjun Kumar","Senthil, Maran K",1,Directed
1590,"Erigaisi, Arjun Kumar","Muthaiah, Al",1,Directed
1591,"Girish, A Koushnik","Erigaisi, Arjun Kumar",1,Directed
1592,"Pranesh, M.","Erigaisi, Arjun Kumar",1,Directed
1593,"Erigaisi, Arjun Kumar","Winkelman, Albert",1,Directed
1594,"Adhiban, Baskaran","Erigaisi, Arjun Kumar",1,Directed
1595,"Erigaisi, Arjun Kumar","Raja, Harshit",1,Directed
1596,"Sunilduth Lyna, Narayanan","Erigaisi, Arjun Kumar",1,Directed
1597,"Erigaisi, Arjun Kumar","Bersamina, Paulo",1,Directed
1598,"Erigaisi, Arjun Kumar","G, Akash",1,Directed
1599,"Erigaisi, Arjun Kumar","Karthik, Sai Ch",1,Directed
1600,"Erigaisi, Arjun Kumar","Ajay, Karthikeyan",1,Directed
1601,"Erigaisi, Arjun Kumar","Gupta, Abhijeet",1,Directed
1602,"Erigaisi, Arjun Kumar","Omarov, Ospan",1,Directed
1603,"Erigaisi, Arjun Kumar","Lugovskoy, Maxim",1,Directed
1604,"Erigaisi, Arjun Kumar","Igambergenov, Alibek",1,Directed
1605,"Sivuk, Vitaly","Erigaisi, Arjun Kumar",1,Directed
1606,"Erigaisi, Arjun Kumar","Nebolsina, Vera",1,Directed
1607,"Erigaisi, Arjun Kumar","Aditya, Mittal",1,Directed
1608,"Erigaisi, Arjun Kumar","Gopal, Geetha Narayanan",1,Directed
1609,"Kamsky, Gata","Erigaisi, Arjun Kumar",1,Directed
1610,"Erigaisi, Arjun Kumar","Le Goff, Ronan",1,Directed
1611,"Erigaisi, Arjun Kumar","Mendonca, Leon Luke",1,Directed
1612,"Erigaisi, Arjun Kumar","Low, Zhen Yu Cyrus",1,Directed
1613,"Erigaisi, Arjun Kumar","Kjartansson, Gudmundur",1,Directed
1614,"Erigaisi, Arjun Kumar","Iniyan, Panneerseluam",1,Directed
1615,"Iniyan, Panneerseluam","Erigaisi, Arjun Kumar",1,Directed
1616,"Bartel, Mateusz","Erigaisi, Arjun Kumar",1,Directed
1617,"Erigaisi, Arjun Kumar","Pierecker, Markus",1,Directed
1618,"Erigaisi, Arjun Kumar","Lopez Mulet, Inigo",1,Directed
1619,"Erigaisi, Arjun Kumar","Sethuraman, SP.",1,Directed
1620,"Nandhidhaa, PV.","Erigaisi, Arjun Kumar",1,Directed
1621,"Erigaisi, Arjun Kumar","Uzumcu, Ahmet Utku",1,Directed
1622,"Nikolovski, Nikola","Erigaisi, Arjun Kumar",1,Directed
1623,"Erigaisi, Arjun Kumar","Nikolovski, Nikola",1,Directed
1624,"Erigaisi, Arjun Kumar","Formento, Paolo",1,Directed
